YEAR,MONTH,STATE, RESIDENTIAL  PHOTOVOLTAIC ELECTRIC ENERGY SOLD BACK (MWh) , COMMERCIAL  PHOTOVOLTAIC ELECTRIC ENERGY SOLD BACK (MWh) , INDUSTRIAL  PHOTOVOLTAIC ELECTRIC ENERGY SOLD BACK (MWh) , TRANSPORTATION  PHOTOVOLTAIC ELECTRIC ENERGY SOLD BACK (MWh) , TOTAL  PHOTOVOLTAIC ELECTRIC ENERGY SOLD BACK (MWh) , RESIDENTIAL PHOTOVOLTAIC INSTALLED NET METERING CAPACITY (MW) , COMMERCIAL PHOTOVOLTAIC INSTALLED NET METERING CAPACITY (MW) , INDUSTRIAL  PHOTOVOLTAIC INSTALLED NET METERING CAPACITY (MW) , TRANSPORTATION PHOTOVOLTAIC INSTALLED NET METERING CAPACITY (MW) , TOTAL PHOTOVOLTAIC INSTALLED NET METERING CAPACITY (MW) , RESIDENTIAL PHOTOVOLTAIC NET METERING CUSTOMER COUNT , COMMERCIAL PHOTOVOLTAIC NET METERING CUSTOMER COUNT , INDUSTRIAL PHOTOVOLTAIC NET METERING CUSTOMER COUNT , TRANSPORTATIONPHOTOVOLTAIC NET METERING CUSTOMER COUNT , TOTAL PHOTOVOLTAIC NET METERING CUSTOMER COUNT , RESIDENTIAL  WIND ELECTRIC ENERGY SOLD BACK (MWh) , COMMERCIAL  WIND ELECTRIC ENERGY SOLD BACK (MWh) , INDUSTRIAL  WIND ELECTRIC ENERGY SOLD BACK (MWh) , TRANSPORTATION  WIND ELECTRIC ENERGY SOLD BACK (MWh) , TOTAL  WIND ELECTRIC ENERGY SOLD BACK (MWh) , RESIDENTIAL WIND INSTALLED NET METERING CAPACITY (MW) , COMMERCIAL WIND INSTALLED NET METERING CAPACITY (MW) , INDUSTRIAL  WIND INSTALLED NET METERING CAPACITY (MW) , TRANSPORTATION WIND INSTALLED NET METERING CAPACITY (MW) , TOTAL WIND INSTALLED NET METERING CAPACITY (MW) , RESIDENTIAL WIND NET METERING CUSTOMER COUNT , COMMERCIAL WIND NET METERING CUSTOMER COUNT , INDUSTRIAL WIND NET METERING CUSTOMER COUNT , TRANSPORTATION WIND NET METERING CUSTOMER COUNT , TOTAL WIND NET METERING CUSTOMER COUNT , RESIDENTIAL  OTHER ELECTRIC ENERGY SOLD BACK (MWh) , COMMERCIAL  OTHER ELECTRIC ENERGY SOLD BACK (MWh) , INDUSTRIAL  OTHER ELECTRIC ENERGY SOLD BACK (MWh) , TRANSPORTATION  OTHER ELECTRIC ENERGY SOLD BACK (MWh) , TOTAL  OTHER ELECTRIC ENERGY SOLD BACK (MWh) , RESIDENTIAL OTHER INSTALLED NET METERING CAPACITY (MW) , COMMERCIAL OTHER INSTALLED NET METERING CAPACITY (MW) , INDUSTRIAL  OTHER INSTALLED NET METERING CAPACITY (MW) , TRANSPORTATION OTHER INSTALLED NET METERING CAPACITY (MW) , TOTAL OTHER INSTALLED NET METERING CAPACITY (MW) , RESIDENTIAL OTHER NET METERING CUSTOMER COUNT , COMMERCIAL OTHER NET METERING CUSTOMER COUNT , INDUSTRIAL OTHER NET METERING CUSTOMER COUNT , TRANSPORTATION OTHER NET METERING CUSTOMER COUNT , TOTAL OTHER NET METERING CUSTOMER COUNT , RESIDENTIAL  TOTAL ELECTRIC ENERGY SOLD BACK TO THE UTILITY (MWh) , COMMERCIAL  TOTAL  ELECTRIC ENERGY SOLD BACK TO THE UTILITY(MWh) , INDUSTRIAL  TOTAL  ELECTRIC ENERGY SOLD BACK TO THE UTILITY(MWh) , TRANSPORTATION  TOTAL  ELECTRIC ENERGY SOLD BACK TO THE UTILITY(MWh) , TOTAL  ELECTRIC ENERGY SOLD BACK TO THE UTILITY(MWh) , RESIDENTIAL TOTAL  INSTALLED NET METERING CAPACITY (MW) , COMMERCIAL TOTAL  INSTALLED NET METERING CAPACITY (MW) , INDUSTRIAL  TOTAL  INSTALLED NET METERING CAPACITY (MW) , TRANSPORTATION TOTAL  INSTALLED NET METERING CAPACITY (MW) , TOTAL  INSTALLED NET METERING CAPACITY (MW) , RESIDENTIAL TOTAL  NET METERING CUSTOMER COUNT , COMMERCIAL TOTAL  NET METERING CUSTOMER COUNT , INDUSTRIAL TOTAL  NET METERING CUSTOMER COUNT , TRANSPORTATION TOTAL  NET METERING CUSTOMER COUNT , TOTAL NET METERING CUSTOMER COUNT , RESIDENTIAL  ELECTRIC ENERGY SOLD BACK TO THE UTILITY FOR ALL STATES SERVED(MWh) , COMMERCIAL  ELECTRIC ENERGY SOLD BACK TO THE UTILITY FOR ALL STATES SERVED(MWh) , INDUSTRIAL  ELECTRIC ENERGY SOLD BACK TO THE UTILITY FOR ALL STATES SERVED(MWh) , TRANSPORTATION  ELECTRIC ENERGY SOLD BACK TO THE UTILITY FOR ALL STATES SERVED(MWh) , TOTAL  ELECTRIC ENERGY SOLD BACK TO THE UTILITYFOR ALL STATES SERVED(MWh) , RESIDENTIAL INSTALLED NET METERING CAPACITY FOR ALL STATES SERVED(MW) , COMMERCIAL INSTALLED NET METERING CAPACITY FOR ALL STATES SERVED(MW) , INDUSTRIAL  INSTALLED NET METERING CAPACITY FOR ALL STATES SERVED(MW) , TRANSPORTATION INSTALLED NET METERING CAPACITY FOR ALL STATES SERVED(MW) , INSTALLED NET METERING CAPACITY FOR ALL STATES SERVED(MW) , RESIDENTIAL NET METERING CUSTOMER COUNT FOR ALL STATES SERVED , COMMERCIAL NET METERING CUSTOMER COUNT FOR ALL STATES SERVED , INDUSTRIAL NET METERING CUSTOMER COUNT FOR ALL STATES SERVED , TRANSPORTATION NET METERING CUSTOMER COUNT FOR ALL STATES SERVED , NET METERING CUSTOMER COUNT FOR ALL STATES SERVED 
2011,1,AK, 0.07 , -   , -   , -   , 0.07 , 0.01 , 0.01 , 0.01 , -   , 0.03 , 8 , 2 , 1 , -   , 11 , 1 , 0 , -   , -   , 1 , 0 , 0 , -   , -   , 0 , 25 , 4 , -   , -   , 29 ,,,,,0.00,,,,,0.00,,,,, -   ,,,,,0,,,,,0,,,,, -   ,1.294,0.012,0,0,1.306,0.096,0.021,0.008,0,0.125, 33 , 6 , 1 , -   , 40 
2011,1,AR, -   , -   , -   , -   , -   , 0.33 , 0.08 , -   , -   , 0.41 , 70 , 9 , -   , -   , 79 , -   , -   , -   , -   , -   , 0 , 0 , -   , -   , 0 , 3 , 4 , -   , -   , 7 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,0,0,0,0,0,0,0,0,0,0, -   , -   , -   , -   , -   ,0,0,0,0,0,0.336,0.085,0,0,0.421, 73 , 13 , -   , -   , 86 
2011,1,AZ, 725.86 , 273.54 ," 1,242.89 ", -   ," 2,242.30 ", 25.04 , 18.36 , 9.90 , -   , 53.30 ," 4,510 ", 161 , 48 , -   ," 4,719 ", 11 , 0 , -   , -   , 11 , 0 , 0 , 0 , -   , 0 , 103 , 4 , 1 , -   , 108 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,0,0,0,0,0,0,0,0,0,0, -   , -   , -   , -   , -   ,737.037,273.669,1242.894,0,2253.6,25.337,18.367,9.923,0,53.627," 4,613 ", 165 , 49 , -   ," 4,827 "
2011,1,CA, 147.98 , 154.44 , 67.53 , -   , 369.95 , 203.74 , 59.25 , 188.71 , -   , 451.71 ," 44,084 ", 801 ," 1,691 ", -   ," 46,576 ", 9 , -   , -   , -   , 9 , 3 , 1 , 2 , -   , 6 , 375 , 9 , 18 , -   , 402 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,0,0,0,0,0,0.117,2.49,9.599,0,12.206, 20 , 4 , 21 , -   , 45 ,157.184,154.436,67.525,0,379.145,206.689,62.912,200.663,0,470.264," 44,479 ", 814 ," 1,730 ", -   ," 47,023 "
2011,1,CO, 20.74 , 0.28 , -   , -   , 21.02 , 4.35 , 5.05 , 0.33 , -   , 9.74 , 870 , 195 , 5 , -   ," 1,070 ", -   , -   , -   , -   , -   , 0 , 0 , 2 , -   , 2 , 23 , 2 , 1 , -   , 26 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.63,0.00,1.63, -   , -   , 4 , -   , 4 ,0,0,0,0,0,0,0,0,0,0, -   , -   , -   , -   , -   ,20.737,0.284,0,0,21.021,4.409,5.065,3.761,0,13.235, 893 , 197 , 10 , -   ," 1,100 "
2011,1,CT, 9.30 , 19.93 , 1.52 , -   , 30.74 , 1.46 , 1.32 , 0.33 , -   , 3.11 , 246 , 20 , 3 , -   , 269 , -   , -   , 7 , -   , 7 , -   , -   , 0 , -   , 0 , -   , -   , 1 , -   , 1 ,,,,,0.00,,,,,0.00,,,,, -   ,0.96,16.6,0,0,17.56,0.075,0.723,0,0,0.798, 1 , 8 , -   , -   , 9 ,10.257,36.526,8.56,0,55.343,1.537,2.043,0.426,0,4.006, 247 , 28 , 4 , -   , 279 
2011,1,DC, -   , -   , -   , -   , -   , 1.01 , 0.83 , -   , -   , 1.84 , 274 , 20 , -   , -   , 294 ,,,,, -   ,,,,, -   ,,,,, -   ,,,,,0.00,,,,,0.00,,,,, -   ,,,,,0,,,,,0,,,,, -   ,0,0,0,0,0,1.01,0.83,0,0,1.84, 274 , 20 , -   , -   , 294 
2011,1,DE, 6.67 , -   , -   , -   , 6.67 , 3.67 , 2.93 , 0.14 , -   , 6.74 , 639 , 102 , 5 , -   , 746 , -   , -   , -   , -   , -   , 0 , 0 , -   , -   , 0 , 20 , 7 , -   , -   , 27 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,0,0,0,0,0,0,0,0,0,0, -   , -   , -   , -   , -   ,6.67,0,0,0,6.67,3.715,3.038,0.14,0,6.893, 659 , 109 , 5 , -   , 773 
2011,1,FL, 152.13 , 44.03 , -   , -   , 196.17 , 8.19 , 6.99 , -   , -   , 15.19 ," 1,706 ", 224 , -   , -   ," 1,930 ", 0 , 1 , -   , -   , 1 , 0 , 0 , -   , -   , 0 , 5 , 15 , -   , -   , 20 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,0,0,0,0,0,0,0,0,0,0, -   , -   , -   , -   , -   ,152.141,45.056,0,0,197.197,8.203,7.027,0,0,15.23," 1,711 ", 239 , -   , -   ," 1,950 "
2011,1,GA, 0.50 , 85.70 , 0.80 , -   , 87.00 , 8.74 , 4.97 , 0.10 , -   , 13.81 , 94 , 50 , 1 , -   , 145 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,0,0,0,0,0,0,0,0,0,0, -   , -   , -   , -   , -   ,0.5,85.7,0.8,0,87,8.74,4.97,0.1,0,13.81, 94 , 50 , 1 , -   , 145 
