Utility Level Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility Charateristics,,,,,,Photovoltaic,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Year,Month,State,Utility Number,Utility Name,Data Status,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2013,1,AK,599,Anchorage Municipal Light and Power,Final,.,0.018,.,.,0.018,.,1,.,.,1,.,.,.,.,0.000,.,0.004,.,.,0.004,.,1,.,.,1,.,0.023,.,.,0.023,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.022,0.000,0.000,0.022,0,2,0,0,2,0.000,0.023,0.000,0.000,0.023
2013,1,AK,3522,Chugach Electric Assn Inc,Final,.,0.015,.,.,0.015,.,3,.,.,3,.,.,.,.,0.000,.,0.008,.,.,0.008,.,3,.,.,3,.,.,.,.,0.000,.,0.195,.,.,0.195,.,1,.,.,1,.,.,.,.,0.000,0.000,0.218,0.000,0.000,0.218,0,7,0,0,7,0.000,0.000,0.000,0.000,0.000
2013,1,AK,7353,Golden Valley Elec Assn Inc,Final,0.072,0.054,0.028,.,0.154,21,6,4,.,31,0.000,0.000,0.000,.,0.000,0.007,0.005,0.000,.,0.012,3,1,0,.,4,0.000,0.000,0.000,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.079,0.059,0.028,0.000,0.166,24,7,4,0,35,0.000,0.000,0.000,0.000,0.000
2013,1,AK,11824,Matanuska Electric Assn Inc,Final,0.007,0.014,.,.,0.021,3,3,.,.,6,0.000,0.000,.,.,0.000,0.038,0.015,0.000,0.000,0.053,14,4,0,0,18,0.000,0.000,0.000,0.000,0.000,0.016,0.000,0.000,0.000,0.016,3,0,0,0,3,0.000,0.000,0.000,0.000,0.000,0.061,0.029,0.000,0.000,0.090,20,7,0,0,27,0.000,0.000,0.000,0.000,0.000
2013,1,AK,19558,Homer Electric Assn Inc,Final,0.083,0.010,.,.,0.093,20,3,.,.,23,0.365,0.002,.,.,0.367,0.103,0.020,.,.,0.123,28,4,.,.,32,2.003,0.868,.,.,2.871,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.186,0.030,0.000,0.000,0.216,48,7,0,0,55,2.368,0.870,0.000,0.000,3.238
2013,1,AL,195,Alabama Power Co,Final,0.150,0.189,.,.,0.339,38,13,.,.,51,3.878,6.583,.,.,10.461,.,0.002,.,.,0.002,.,1,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.150,0.191,0.000,0.000,0.341,38,14,0,0,52,3.878,6.583,0.000,0.000,10.461
2013,1,AL,4958,Decatur Utilities,Final,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000
2013,1,AL,9094,City of Huntsville - (AL),Final,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000
2013,1,AL,9739,Joe Wheeler Elec Member Corp,Final,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000
2013,1,AR,814,Entergy Arkansas Inc,Final,0.328,0.100,.,.,0.428,80,9,.,.,89,.,.,.,.,0.000,0.002,0.054,.,.,0.056,1,3,.,.,4,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.330,0.154,0.000,0.000,0.484,81,12,0,0,93,0.000,0.000,0.000,0.000,0.000
2013,1,AR,817,Arkansas Valley Elec Coop Corp,Final,0.079,.,.,.,0.079,14,.,.,.,14,.,.,.,.,0.000,0.005,.,.,.,0.005,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.084,0.000,0.000,0.000,0.084,15,0,0,0,15,0.000,0.000,0.000,0.000,0.000
2013,1,AR,3093,Carroll Electric Coop Corp - (AR),Final,0.145,.,.,.,0.145,37,.,.,.,37,.,.,.,.,0.000,0.015,.,.,.,0.015,2,.,.,.,2,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.160,0.000,0.000,0.000,0.160,39,0,0,0,39,0.000,0.000,0.000,0.000,0.000
2013,1,AR,6342,First Electric Coop Corp,Final,0.101,0.000,0.000,0.000,0.101,22,0,0,0,22,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.010,1,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.111,0.000,0.000,0.000,0.111,23,0,0,0,23,0.000,0.000,0.000,0.000,0.000
2013,1,AR,14063,Oklahoma Gas & Electric Co,Final,0.044,0.030,0.000,0.000,0.074,8,3,0,0,11,0.000,0.000,0.000,0.000,0.000,0.004,0.001,0.000,0.000,0.005,1,1,0,0,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.048,0.031,0.000,0.000,0.079,9,4,0,0,13,0.000,0.000,0.000,0.000,0.000
2013,1,AR,17698,Southwestern Electric Power Co,Final,0.032,0.049,0.000,0.000,0.081,11,7,0,0,18,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.004,0,1,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.032,0.053,0.000,0.000,0.085,11,8,0,0,19,0.000,0.000,0.000,0.000,0.000
2013,1,AZ,176,Ajo Improvement Co,Final,.,0.033,.,.,0.033,.,3,.,.,3,.,0.911,.,.,0.911,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.033,0.000,0.000,0.033,0,3,0,0,3,0.000,0.911,0.000,0.000,0.911
2013,1,AZ,803,Arizona Public Service Co,Final,87.427,138.167,.,.,225.594,"15,567",742,.,.,"16,309",.,.,.,.,0.000,0.052,0.105,.,.,0.157,25,10,.,.,35,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,87.479,138.272,0.000,0.000,225.751,"15,592",752,0,0,"16,344",0.000,0.000,0.000,0.000,0.000
2013,1,AZ,12919,Morenci Water and Electric,Final,.,0.033,.,.,0.033,.,3,.,.,3,.,1.385,.,.,1.385,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.033,0.000,0.000,0.033,0,3,0,0,3,0.000,1.385,0.000,0.000,1.385
