Utility Level Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility Characteristics,,,,,,Photovoltaic,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Year,Month,State,Utility Number,Utility Name,Data Status,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2015,1,AK,219,Alaska Power and Telephone Co,Final,0.012,0.011,0.000,0.000,0.023,3,1,0,0,4,0.000,0.000,0.000,0.000,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.012,0.011,0.000,0.000,0.023,3,1,0,0,4,0.000,0.000,0.000,0.000,0.000
2015,1,AK,599,Anchorage Municipal Light and Power,Final,.,0.018,.,.,0.018,.,1,.,.,1,.,0.000,.,.,0.000,.,0.002,.,.,0.002,.,1,.,.,1,.,0.012,.,.,0.012,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.020,0.000,0.000,0.020,0,2,0,0,2,0.000,0.012,0.000,0.000,0.012
2015,1,AK,3522,Chugach Electric Assn Inc,Final,0.019,0.011,.,.,0.030,5,2,.,.,7,.,.,.,.,0.000,.,0.010,.,.,0.010,.,4,.,.,4,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.019,0.021,0.000,0.000,0.040,5,6,0,0,11,0.000,0.000,0.000,0.000,0.000
2015,1,AK,7353,Golden Valley Elec Assn Inc,Final,0.173,0.103,0.019,.,0.295,41,13,3,.,57,0.000,0.000,0.000,.,0.000,0.013,0.009,0.000,.,0.022,4,2,0,.,6,0.000,0.000,0.000,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.186,0.112,0.019,0.000,0.317,45,15,3,0,63,0.000,0.000,0.000,0.000,0.000
2015,1,AK,11824,Matanuska Electric Assn Inc,Final,0.073,0.017,0.000,0.000,0.090,21,4,0,0,25,0.000,0.000,0.000,0.000,0.000,0.042,0.016,0.000,0.000,0.058,15,4,0,0,19,0.000,0.000,0.000,0.000,0.000,0.017,0.000,0.000,0.000,0.017,3,0,0,0,3,0.000,0.000,0.000,0.000,0.000,0.132,0.033,0.000,0.000,0.165,39,8,0,0,47,0.000,0.000,0.000,0.000,0.000
2015,1,AK,19558,Homer Electric Assn Inc,Final,0.107,0.018,.,.,0.125,34,5,.,.,39,0.272,0.041,.,.,0.313,0.103,0.020,.,.,0.123,28,4,.,.,32,1.067,0.896,.,.,1.963,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.210,0.038,0.000,0.000,0.248,62,9,0,0,71,1.339,0.937,0.000,0.000,2.276
2015,1,AK,99999,State Adjustment,Final,0.034,.,.,.,0.034,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.034,.,.,.,0.034,.,.,.,.,.,.,.,.,.,.
2015,1,AL,195,Alabama Power Co,Final,0.266,0.205,0.040,.,0.511,62,16,1,.,79,8.197,10.364,.,.,18.561,.,0.002,.,.,0.002,.,1,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.266,0.207,0.040,0.000,0.513,62,17,1,0,80,8.197,10.364,0.000,0.000,18.561
2015,1,AL,99999,State Adjustment,Final,0.061,.,.,.,0.061,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.061,.,.,.,0.061,.,.,.,.,.,.,.,.,.,.
2015,1,AR,814,Entergy Arkansas Inc,Final,0.499,0.190,.,.,0.689,110,16,.,.,126,.,.,.,.,0.000,0.002,0.057,.,.,0.059,1,4,.,.,5,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.501,0.247,0.000,0.000,0.748,111,20,0,0,131,0.000,0.000,0.000,0.000,0.000
