Utility Level Data - States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility Characteristics,,,,,,Photovoltaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,,,Capacity MW,,,,,,Customers,,,,,Storage Capacity (MW),,,,,Storage Customers,,,,,Virtual Capacity (MW),,,,,Virtual Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Year,Month,State,Utility Number,Utility Name,Data Status,Type,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2019,1,AK,219,Alaska Power and Telephone Co,Preliminary,AC,0.012,0.021,0.000,0.000,0.033,3,2,0,0,5,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,0.000,0.000,0.000,0.000,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.012,0.021,NM,0.000,0.033,3,2,0,0,5,0.000,0.000,0.000,0.000,0.000
2019,1,AK,599,Anchorage Municipal Light and Power,Preliminary,AC,0.220,0.201,.,.,0.421,66,16,.,.,82,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,0.000,0.010,.,.,0.010,.,0.002,.,.,0.002,.,1,.,.,1,.,0.021,.,.,0.021,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.220,0.203,NM,0.000,0.423,66,17,0,0,83,0.000,0.031,0.000,0.000,0.031
2019,1,AK,3522,Chugach Electric Assn Inc,Preliminary,AC,0.307,0.200,.,.,0.507,118,30,.,.,148,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,0.008,.,.,0.008,.,3,.,.,3,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.307,0.208,NM,0.000,0.515,118,33,0,0,151,0.000,0.000,0.000,0.000,0.000
2019,1,AK,7353,Golden Valley Elec Assn Inc,Preliminary,AC,0.736,0.268,0.043,.,1.047,180,25,4,.,209,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.013,0.015,.,.,0.028,4,3,.,.,7,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.749,0.283,0.043,0.000,1.075,184,28,4,0,216,0.000,0.000,0.000,0.000,0.000
2019,1,AK,11824,Matanuska Electric Assn Inc,Preliminary,AC,0.487,0.072,.,.,0.559,110,9,.,.,119,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.057,0.018,.,.,0.075,18,4,.,.,22,.,.,.,.,0.000,0.030,0.004,.,.,0.034,6,1,.,.,7,.,.,.,.,0.000,0.574,0.094,NM,0.000,0.668,134,14,0,0,148,0.000,0.000,0.000,0.000,0.000
2019,1,AK,19558,Homer Electric Assn Inc,Preliminary,DC,0.394,0.066,.,.,0.460,100,11,.,.,111,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,1.016,0.033,.,.,1.049,0.100,0.015,.,.,0.115,29,4,.,.,33,0.799,0.025,.,.,0.824,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.494,0.081,NM,0.000,0.575,129,15,0,0,144,1.815,0.058,0.000,0.000,1.873
2019,1,AK,99999,Adjustment 2019,Preliminary,,-0.038,0.016,.,.,-0.021,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.038,0.016,.,.,-0.021,.,.,.,.,.,.,.,.,.,.
2019,1,AL,99999,Adjustment 2019,Preliminary,,NM,NM,.,.,NM,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NM,NM,.,.,NM,.,.,.,.,.,.,.,.,.,.
2019,1,AR,814,Entergy Arkansas LLC,Preliminary,DC,2.770,1.880,1.633,.,6.283,364,56,11,.,431,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.007,0.002,0.006,.,0.015,1,1,2,.,4,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.777,1.882,1.639,0.000,6.298,365,57,13,0,435,0.000,0.000,0.000,0.000,0.000
2019,1,AR,817,Arkansas Valley Elec Coop Corp,Preliminary,AC,0.555,0.017,.,.,0.572,77,1,.,.,78,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,0.357,.,.,.,0.000,0.006,.,.,.,0.006,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.561,0.017,NM,0.000,0.578,78,1,0,0,79,0.357,0.000,0.000,0.000,0.357
2019,1,AR,3093,Carroll Electric Coop Corp - (AR),Preliminary,DC,2.320,.,.,.,2.320,338,.,.,.,338,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.016,.,.,.,0.016,4,.,.,.,4,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.336,NM,NM,0.000,2.336,342,0,0,0,342,0.000,0.000,0.000,0.000,0.000
2019,1,AR,5860,Empire District Electric Co,Preliminary,DC,0.096,.,.,.,0.096,12,.,.,.,12,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,0.000,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.096,NM,NM,0.000,0.096,12,0,0,0,12,0.000,0.000,0.000,0.000,0.000
2019,1,AR,6342,First Electric Coop Corp,Preliminary,AC,1.123,0.000,0.000,0.000,1.123,95,0,0,0,95,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.010,1,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,1.133,NM,NM,0.000,1.133,96,0,0,0,96,0.000,0.000,0.000,0.000,0.000
