Utility Level Data - States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility Characteristics,,,,,,Photovoltaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,,,Capacity MW,,,,,,Customers,,,,,Storage Capacity (MW),,,,,Storage Customers,,,,,Virtual Capacity (MW),,,,,Virtual Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Year,Month,State,Utility Number,Utility Name,Data Status,Type,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2020,1,AK,219,Alaska Power and Telephone Co,Preliminary,AC,0.012,0.021,0.000,0.000,0.033,3,2,0,0,5,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.005,.,.,.,0.005,1,.,.,.,1,.,.,.,.,0.000,0.017,0.021,NM,0.000,0.038,4,2,0,0,6,0.000,0.000,0.000,0.000,0.000
2020,1,AK,599,Anchorage Municipal Light and Power,Preliminary,AC,0.670,0.233,.,.,0.903,162,20,.,.,182,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,0.014,.,.,0.014,.,0.002,.,.,0.002,.,1,.,.,1,.,0.017,.,.,0.017,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.670,0.235,NM,0.000,0.905,162,21,0,0,183,0.000,0.031,0.000,0.000,0.031
2020,1,AK,3522,Chugach Electric Assn Inc,Preliminary,AC,0.820,0.233,.,.,1.053,221,32,.,.,253,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,0.008,.,.,0.008,.,3,.,.,3,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.820,0.241,NM,0.000,1.061,221,35,0,0,256,0.000,0.000,0.000,0.000,0.000
2020,1,AK,7353,Golden Valley Elec Assn Inc,Preliminary,AC,1.162,0.268,0.043,0.000,1.473,249,25,4,0,278,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.013,0.012,0.000,0.000,0.025,4,2,0,0,6,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.175,0.280,0.043,0.000,1.498,253,27,4,0,284,0.000,0.000,0.000,0.000,0.000
2020,1,AK,11824,Matanuska Electric Assn Inc,Preliminary,AC,0.768,0.111,.,.,0.879,150,12,.,.,162,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.054,0.016,.,.,0.070,17,3,.,.,20,.,.,.,.,0.000,0.048,0.004,.,.,0.052,7,1,.,.,8,.,.,.,.,0.000,0.870,0.131,NM,0.000,1.001,174,16,0,0,190,0.000,0.000,0.000,0.000,0.000
2020,1,AK,19558,Homer Electric Assn Inc,Preliminary,DC,0.939,0.175,.,.,1.114,194,21,.,.,215,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,1.871,0.055,.,.,1.926,0.099,0.015,.,.,0.114,29,4,.,.,33,0.738,0.976,.,.,1.714,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.038,0.190,NM,0.000,1.228,223,25,0,0,248,2.609,1.031,0.000,0.000,3.640
2020,1,AK,99999,Adjustment 2020,Preliminary,,-0.129,-0.001,.,.,-0.129,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.129,-0.001,.,.,-0.129,.,.,.,.,.,.,.,.,.,.
2020,1,AL,99999,Adjustment 2020,Preliminary,,NM,NM,.,.,NM,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NM,NM,.,.,NM,.,.,.,.,.,.,.,.,.,.
2020,1,AR,814,Entergy Arkansas LLC,Preliminary,DC,4.198,4.079,1.924,.,10.201,570,77,14,.,661,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.007,0.002,0.006,.,0.015,1,1,2,.,4,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,4.205,4.081,1.930,0.000,10.216,571,78,16,0,665,0.000,0.000,0.000,0.000,0.000
2020,1,AR,817,Arkansas Valley Elec Coop Corp,Preliminary,AC,0.921,0.343,.,.,1.264,118,4,.,.,122,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,0.983,5.480,.,.,6.463,0.007,.,.,.,0.007,2,.,.,.,2,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.928,0.343,NM,0.000,1.271,120,4,0,0,124,0.983,5.480,0.000,0.000,6.463
2020,1,AR,3093,Carroll Electric Coop Corp - (AR),Preliminary,DC,3.620,.,.,.,3.620,496,.,.,.,496,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.019,.,.,.,0.019,3,.,.,.,3,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,3.639,NM,NM,0.000,3.639,499,0,0,0,499,0.000,0.000,0.000,0.000,0.000
2020,1,AR,5860,Empire District Electric Co,Preliminary,DC,0.179,.,.,.,0.179,23,.,.,.,23,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,0.130,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.179,NM,NM,0.000,0.179,23,0,0,0,23,0.130,0.000,0.000,0.000,0.130
2020,1,AR,6342,First Electric Coop Corp,Preliminary,AC,2.445,0.000,0.000,0.000,2.445,187,0,0,0,187,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.010,1,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,2.455,NM,NM,0.000,2.455,188,0,0,0,188,0.000,0.000,0.000,0.000,0.000
2020,1,AR,13718,City of North Little Rock - (AR),Preliminary,AC,0.249,1.200,.,.,1.449,37,5,.,.,42,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.249,1.200,NM,0.000,1.449,37,5,0,0,42,0.000,0.000,0.000,0.000,0.000
2020,1,AR,14063,Oklahoma Gas & Electric Co,Preliminary,AC,0.410,0.037,0.000,0.000,0.447,59,4,0,0,63,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.004,0.001,0.000,0.000,0.005,2,1,0,0,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.414,0.038,NM,0.000,0.452,61,5,0,0,66,0.000,0.000,0.000,0.000,0.000
2020,1,AR,17698,Southwestern Electric Power Co,Preliminary,AC,1.097,0.655,0.700,.,2.452,182,24,1,.,207,0.427,.,.,.,0.427,4,.,.,.,4,0.052,0.463,.,.,0.515,6,5,.,.,11,111.728,53.440,.,.,165.168,.,0.005,.,.,0.005,.,2,.,.,2,.,0.002,.,.,0.002,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.149,1.123,0.700,0.000,2.972,188,31,1,0,220,111.728,53.442,0.000,0.000,165.170
